OTRIVINA GEL 0.1 % 10G,NOVARTIS BIOCIÊNCIAS S/A,L00777A,120,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"OTRIVINA UMECTANTE 0,1% 15ML",NOVARTIS BIOCIÊNCIAS S/A,Z0152,200,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
OVESTRION CREME 50G,"SCHERING-PLOUGH INDUSTRIAFARMACEUTICA LTDA",27099,450,3007,2011-1359937,18/10/2011,"CONTAGEM - MINASGERAIS"
OVESTRION CREME 50G,"SCHERING-PLOUGH INDUSTRIAFARMACEUTICA LTDA",27101,540,3007,2011-1359937,18/10/2011,"CONTAGEM - MINASGERAIS"
OVESTRION CREME 50G,"SCHERING-PLOUGH INDUSTRIAFARMACEUTICA LTDA",27102,630,3007,2011-1359937,18/10/2011,"CONTAGEM - MINASGERAIS"
OXINEST COLIRIO,"LATINOFARMA INDÚSTRIASFARMACÊUTICAS LTDA",11249,60,85601,544/2011,26/10/2011,SÃO PAULO - SP
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",FRESENIUS HEMOCARE BRASIL,,,,,,
PAINEL DE HEMACIAS,LTDA,71EE27EQ,1,16505,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
PAINEL DE HEMÁCIAS,LTDA,71EE27EQ,8,16477,3959/2011,26/05/2011,São Paulo - SP
PAMELOR,NOVARTIS BIOCIÊNCIAS S/A,Z0121,150,268799,508/2011,13/09/2011,GOITUBA-GO
PAMELOR,NOVARTIS BIOCIÊNCIAS S/A,Z0300,166,268799,508/2011,13/09/2011,GOITUBA-GO
PAMELOR,NOVARTIS BIOCIÊNCIAS S/A,Z0198,138,268799,508/2011,13/09/2011,GOITUBA-GO
PAMERGAN 25 MG/ML SOL INJ - 50,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
AMP X 2 ML,FARMACÊUTICOS LTDA.,11020945,1 cx,0443223,447/2011,03/05/2011,Registro - SP
PANTOCAL 20MG 14CPR,Eurofarma Laboratórios Ltda,204709,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
PANTOCAL 40MG 14CPR,Eurofarma Laboratórios Ltda,205715,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,"Passos, 437,"
"",,163488,200,,2011-1380465,21/10/2011,
PARACETAMOL 200 MG/ML FR. 15,Ltda,,,,,,Petrolândia –
ML,,,,,,,Contagem/MG
PARCEL 20 DG,NOVARTIS BIOCIÊNCIAS S/A,Z0061,1600,271123,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
PARKIDOPA 250 MG + 25 MG COM. -,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
3 BL X 10,FARMACÊUTICOS LTDA.,11021203,150 cxs,0443729,447/2011,03/05/2011,Registro - SP
PAROXETINA CLOR 20MG 30CPR,,,,,,,
"",Eurofarma Laboratórios Ltda,,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
(C1),,213215,,,,,
"",HERBARIUM LABORATÓRIO,,,,,,
PASSIENE 120 ML,"BOTÂNICO LTDA,",405531,24,71185,987681,03/10/2011,CAJATI - SP
"",HERBARIUM LABORATÓRIO,,,,,,
PASSIENE 120 ML,"BOTÂNICO LTDA,",405531,10,71187,987681,03/10/2011,CAJATI - SP
PEDIALYTE,ABOTT LAB. DO BRASIL LTDA.,05200MC6,108,152808,,26/12/2011,MIRACATU - SP
PEDIALYTE,ABOTT LAB. DO BRASIL LTDA.,05200MC6,24,152809,,26/12/2011,MIRACATU - SP
PEDIALYTE,ABOTT LAB. DO BRASIL LTDA.,05200MC6,564,152810,,26/12/2011,MIRACATU - SP
PEDIALYTE,ABOTT LAB. DO BRASIL LTDA.,06214MC1,180,152810,,26/12/2011,MIRACATU - SP
PERCOF XPE 120ML,Eurofarma Laboratórios Ltda,210520A,80,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
PERMUT CR 10G,Eurofarma Laboratórios Ltda,204094C,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
PERTUZUMAB 420mg OR PLACEBO,FARMACÊUTICOS S.A,WO20698D,4,13535,70/2001,05/01/2011,Jandira - SP
"",,,,,,,Rodovia Arnaldo Julio
"PIPERACILINA+TAZOBACTAM 4,50G",EUROFARMA LABORATÓRIOS,,,,,,"Mauerberg, 0 - Rural - Nova"
DS 10FA,LTDA.,210378B,5,25582,807/2011,18/10/2011,Odessa / SP
"",,,,"51652, 51879,",,,
"",,,,"51878, 51877,",,,
"",,,,"51993, 51997,",,,
"",,,,"51974, 51972,",,,
PLAGREL 75MG 28FCT BR,SANDOZ DO BRASIL IND. FARM.,BY6676,72,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
"",LATINOFARMA INDÚSTRIAS,,,,,,
PLENIGELL 5 ML,FARMACÊUTICAS LTDA,11.144,12,81.587,2041/2011,20/07/2011,São Paulo/SP
"POLISOCEL GELATINA 3,5% SF 500",HALEX ISTAR INDÚSTRIA,,,,,,
ML,FARMACÊUTICA,44713,72,79820,3000/2011,01/06/2011,Marginal Tietê - SP
PONSTAN 500MG 24 COMP,LABORATÓRIOS PFIZER LTDA.,10430018,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
"PREDILETAN 10 MGML LOCAO FR60 ML","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1101806,12,159049,970929,30/08/2011,Carté-MG
PREDNISONA 20MG 10CPR,Eurofarma Laboratórios Ltda,208183,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
PRESMIN 5ml,"LATINOFARMA INDÚSTRIASFARMACÊUTICAS LTDA",10323,12,75915,89368,14/02/2011,Governador Valadares - MG
PRIMERA 20MCG 21CPR,Eurofarma Laboratórios Ltda,206907,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
PRIMERA 30MCG 63CPR,Eurofarma Laboratórios Ltda,212507,70,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
PRISTIQ 100MG,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",55811,1,30230,7164/2010,03/12/2010,Itapevi - SP
PRISTIQ 100MG,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",58302,1,30230,7164/2010,03/12/2010,Itapevi - SP
PRISTIQ 50MG,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",55278,1,30230,7164/2010,03/12/2010,Itapevi - SP
PRISTIQ 50MG 28CP,"WYETH INDUSTRIAFARMACEUTICA LTDA",72675,50,40101,2319/2011,09/12/2011,BARUERI - SP
"PRIVINA 1,0% 15ML",NOVARTIS BIOCIÊNCIAS S/A,Z0305,700,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"PROBENXIL 11,6 MG/G GEL BG 60 G","CIMED Indústria de MedicamentosLtda",163434,6,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
PROBENXIL 15 MG/ML FR. 20 ML,"CIMED Indústria de MedicamentosLtda",163434,6,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
"","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",,,,,,
PROBENXIL 50 MG DRG 1 BL X 20,1103566,30,158922,970929,30/08/2011,Carté-MG,
PROBENXIL 50 MG DRG. 1 X 20,"CIMED Indústria de MedicamentosLtda",163434,60,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
PROCTO GLYVENOL 5/2% 30 G CRM,NOVARTIS BIOCIÊNCIAS S/A,L01003A,420,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"PROCTO-GLYVENOL 400 MG / 40 MG10 SUP",NOVARTIS BIOCIÊNCIAS S/A,N0150,270,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
PROFLAM 100MG 12CPR,Eurofarma Laboratórios Ltda,210101,200,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
PROLOPA 250MG 30 COMP,"PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0702,108,65540,5986/2011,12/11/2010,Aparecida de Goiânia-GO
"PROLOPA 250MG 30 COMP(LEVODOPA CLORIDRATO DEBENSERAZIDA)","PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0770,216,86250,"941637 ComunicaçãoC1057529",16/07/2011,RESSAQUINHA - MG
"PROLOPA 250MG 30 COMP(LEVODOPA CLORIDRATO DEBENSERAZIDA)","PRODUTOS ROCHE QUÍMICOS EFARMACÊUTICOS S.A",RJ0770,123,86251,"941637 ComunicaçãoC1057529",16/07/2011,RESSAQUINHA - MG
"",,,Quantidade Roubada/,,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",,,,,,,,Itinerário entre Nazaria Dist.
"",,,,,,,,(Messejana - Fortaleza - CE) e
"",,RJ0740,4,,349.582*,Declaração de Sinistro,18/11/2011,
"",,,,,,,,o site Distribuição Roche
PROLOPA 250MG 30 COMP FH,PRODUTOS ROCHE,,,,,,,(Anápolis - GO)
PROLOPA HBS 125MG 30 COMP,,,,,,,,
(LEVODOPA CLORIDRATO DE,PRODUTOS ROCHE QUÍMICOS E,,,,,941637 Comunicação,,
BENSERAZIDA),FARMACÊUTICOS S.A,B2173/01,131,,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"",,,,,,,,VITÓRIA DA CONQUISTA -
PROMENSIL C/15 AG,FARMACOQUÍMICA,13144,140,,40713,1002011022173/11,16/12/2011,BA
"",,,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,,"Passos, 437,"
"",,163488,65,,,2011-1380465,21/10/2011,
"",Ltda,,,,,,,Petrolândia –
PROPRANOLOL 40 MG COMP. 3 X 10,,,,,,,,Contagem/MG
"",,,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,,"Passos, 437,"
"",,163488,135,,,2011-1380465,21/10/2011,
"",Ltda,,,,,,,Petrolândia –
PROPRANOLOL 40 MG COMP. 3 X 10,,,,,,,,Contagem/MG
"",MARJAN INDÚSTRIA E COMÉRCIO,,,,,,,
PROSTAT - HPB,LTDA,10093477,25,,26672,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
PROVERA 10 MG X 14 COMP,LABORATÓRIOS PFIZER LTDA.,P550F,,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
PSOREX CAPILAR 50G,GLAXOSMITHKLINE BRASIL LTDA,OH003,164,,,508/2011,13/09/2011,GOITUBA-GO
PSOREX CREME 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QE0064V,60,,109741,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
PSOREX CREME 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QE0064V,60,,109750,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
PSOREX CREME 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QE0064V,420,,109754,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
PSOREX CREME 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QE0064V,60,,109759,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
PSOREX CREME 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QE0064V,180,,109762,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
PSOREX POMADA 30G,GLAXOSMITHKLINE BRASIL LTDA,QB0245V,960,,,508/2011,13/09/2011,GOITUBA-GO
PSOREX POMADA 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QD0153V,60,,109741,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
PSOREX POMADA 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QD0153V,60,,109750,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
PSOREX POMADA 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QD0153V,240,,109754,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
PSOREX POMADA 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QD0153V,120,,109759,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
PSOREX POMADA 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QD0153V,120,,109762,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
"",,,,,,,,R MANUEL ANTONIO
PYLORIPAC IBP7 + 28 LANSO,SANOFI-AVENTIS COMERCIAL E,,,,,,,"FONSECA, 3-BRASILANDIA -"
30MG(AGT),LOGISTICA LTDA,11031712,12,,41251,1649/2011,01/09/2011,SP
PYLORIPAC IBP7+28 LANSO 30MG,MEDLEY INDÚSTRIA,,,,,,,
(AGT),FARMACEUTICA LTDA,11031712,,12,41251,1647/2011,01/09/2011,Brasilandia-SP
"",MEDLEY INDÚSTRIA,,,,,,,
PYLORIPAC RETRAT C/10 BL (AGT),FARMACEUTICA LTDA,11031732,,5,41251,1647/2011,01/09/2011,Brasilandia-SP
"",,,,,,,,R MANUEL ANTONIO
"",SANOFI-AVENTIS COMERCIAL E,,,,,,,"FONSECA, 3-BRASILANDIA -"
PYLORIPAC RETRAT C/10 BL (AGT),LOGISTICA LTDA,11031732,5,,41251,1649/2011,01/09/2011,SP
RASILEZ,NOVARTIS BIOCIÊNCIAS S/A,T9004_P1,42,,268476,508/2011,13/09/2011,GOITUBA-GO
RASILEZ,NOVARTIS BIOCIÊNCIAS S/A,T9008,62,,268724,508/2011,13/09/2011,GOITUBA-GO
RASILEZ,NOVARTIS BIOCIÊNCIAS S/A,T9016,5,,268724,508/2011,13/09/2011,GOITUBA-GO
RASILEZ,NOVARTIS BIOCIÊNCIAS S/A,T9008,62,,268780,508/2011,13/09/2011,GOITUBA-GO
RASILEZ,NOVARTIS BIOCIÊNCIAS S/A,T9016,5,,268780,508/2011,13/09/2011,GOITUBA-GO
RASILEZ,NOVARTIS BIOCIÊNCIAS S/A,T9004_P1,42,,268607,508/2011,13/09/2011,GOITUBA-GO
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0010,20,268392,508/2011,13/09/2011,GOITUBA-GO
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0010,23,268392,508/2011,13/09/2011,GOITUBA-GO
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0010,23,268541,508/2011,13/09/2011,GOITUBA-GO
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0010,20,268541,508/2011,13/09/2011,GOITUBA-GO
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0011,29,268724,508/2011,13/09/2011,GOITUBA-GO
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0010,21,268724,508/2011,13/09/2011,GOITUBA-GO
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0002,1,268724,508/2011,13/09/2011,GOITUBA-GO
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0012,29,268780,508/2011,13/09/2011,GOITUBA-GO
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0011,21,268780,508/2011,13/09/2011,GOITUBA-GO
RASILEZ AMLO,NOVARTIS BIOCIÊNCIAS S/A,Z0003,1,268780,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0106,33,268475,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0035_P1,10,268475,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0035_P1,10,268542,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0106,33,268542,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0035_P1,13,268724,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0132,52,268724,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0097,3,268724,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0035_P1,13,268780,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0132,52,268780,508/2011,13/09/2011,GOITUBA-GO
RASILEZ HCT,NOVARTIS BIOCIÊNCIAS S/A,T0097,3,268780,508/2011,13/09/2011,GOITUBA-GO
"",,,,"51652, 51879,",,,
"",,,,"51878, 51877,",,,
"",,,,"51993, 51997,",,,
"",,,,"51974, 51972,",,,
RAZAPINA 30MG 28FCT BR,SANDOZ DO BRASIL IND. FARM.,BX7735,80,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
"",LATINOFARMA INDÚSTRIAS,,,,,,
REGENCEL POMADA,,11331,12,85601,544/2011,26/10/2011,SÃO PAULO - SP
"",FARMACÊUTICAS LTDA,,,,,,
"",FRESENIUS HEMOCARE BRASIL,,,,,,
REVERCEL,LTDA,71EE27EG,67,16477,3959/2011,26/05/2011,São Paulo - SP
"",FRESENIUS HEMOCARE BRASIL,,,,,,
REVERCEL,LTDA,71EE27EG,1,16506,3959/2011,26/05/2011,São Paulo - SP
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
REVIA 50 MG COM REV. - 1 FR X 30,FARMACÊUTICOS LTDA.,11010049,20 cxs,0443729,447/2011,03/05/2011,Registro - SP
"",HALEX ISTAR INDÚSTRIA,,,,,,
RINGER COM LACTATO BP 500 ML,FARMACÊUTICA,47305,500,79455,3000/2011,01/06/2011,Marginal Tietê - SP
"",HALEX ISTAR INDÚSTRIA,,,,,,
RINGER COM LACTATO BP 500 ML,FARMACÊUTICA,47025,400,3507,3000/2011,01/06/2011,Marginal Tietê - SP
"",HALEX ISTAR INDÚSTRIA,,,,,,
RINGER COM LACTATO BP 500 ML,FARMACÊUTICA,47205,160,3500,3000/2011,01/06/2011,Marginal Tietê - SP
"",HALEX ISTAR INDÚSTRIA,,,,,,
RINGER COM LACTATO IB 500 ML,FARMACÊUTICA,47551,260,79826,3000/2011,01/06/2011,Marginal Tietê - SP
RISPERIDON 1 MG COM. REV. 3 BL X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
10,FARMACÊUTICOS LTDA.,10107338,217 cxs,0443729,447/2011,03/05/2011,Registro - SP
RISPERIDON 1MG,CRISTÁLIA PROD. QUIM. FARMAC,11010308,22,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
RISPERIDON 1MG,CRISTÁLIA PROD. QUIM. FARMAC,11010308,88,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
RISPERIDON 2 MG COM. REV. 2 BL X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
10,FARMACÊUTICOS LTDA.,09096729,31 cxs,0443729,447/2011,03/05/2011,Registro - SP
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
RISPERIDON 2 MG COM. REV. 3 BL X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
10,FARMACÊUTICOS LTDA.,11010316,186 cxs,0443729,447/2011,03/05/2011,Registro - SP
RISPERIDON 2MG,CRISTÁLIA PROD. QUIM. FARMAC,11021215,132,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
RISPERIDON 3 MG COM. REV. 3 BL X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
10,FARMACÊUTICOS LTDA.,11021220,62 cxs,0443729,447/2011,03/05/2011,Registro - SP
RITALINA LA 30 MG 30 CS,NOVARTIS BIOCIÊNCIAS S/A,F0019,8,271419,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
"RIVOTRIL 0,25 MG 30 COMP",FARMACÊUTICOS S.A,RJ0430,160,74965,5997/2011,04/03/2011,Aparecida de Goiânia-GO
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
"RIVOTRIL 0,25 MG 30 COMP",FARMACÊUTICOS S.A,RJ0428,3,74400,1250-01362/2011,10/03/2011,Fortaleza - CE
"RIVOTRIL 0,25MG 30 COMP",PRODUTOS ROCHE QUÍMICOS E,,,,941637 Comunicação,,
(CLONAZEPAM),FARMACÊUTICOS S.A,RJ0435,800,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
"RIVOTRIL 0,5 MG 30 COMP",FARMACÊUTICOS S.A,RJ0684,160,74965,5997/2011,04/03/2011,Aparecida de Goiânia-GO
"",,,,,,,Itinerário entre a
"",,,,,,,Transportadora Rapidão
"",,RJ0656,8,54888,Declaração de Sinistro,05/10/2011,
"RIVOTRIL 0,5MG 20 COMP",,,,,,,Cometa - Recife - PE ao site
(CLONAZEPAM),PRODUTOS ROCHE,,,,,,de Distribuição Roche - GO
"RIVOTRIL 0,5MG 20 COMP",PRODUTOS ROCHE QUÍMICOS E,,,,941637 Comunicação,,
(CLONAZEPAM),FARMACÊUTICOS S.A,RJ0716,480,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"",,,,,,,Itinerário entre a
"",,,,,,,Transportadora Rapidão
"",,RJ0684,1,77609,Declaração de Sinistro,,
"RIVOTRIL 0,5MG 20 COMP",,,,,,,Cometa - Recife - PE ao site
(CLONAZEPAM),PRODUTOS ROCHE,,,,,30/08/2011,de Distribuição Roche - GO
"RIVOTRIL 0,5MG 30 COMP",PRODUTOS ROCHE QUÍMICOS E,,,,941637 Comunicação,,
(CLONAZEPAM),FARMACÊUTICOS S.A,RJ0738,64,86250,C1057529,16/07/2011,RESSAQUINHA - MG
"RIVOTRIL 0,5MG 30 COMP",PRODUTOS ROCHE QUÍMICOS E,,,,941637 Comunicação,,
(CLONAZEPAM),FARMACÊUTICOS S.A,RJ0738,1639,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"RIVOTRIL 0,5MG 30 COMP",PRODUTOS ROCHE QUÍMICOS E,,,,941637 Comunicação,,
(CLONAZEPAM),FARMACÊUTICOS S.A,RJ0740,941,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
RIVOTRIL 2 MG 20 COMP FH,FARMACÊUTICOS S.A,RJ 1259,160,10.02.11,125-1361/2011,14/02/2011,Fortaleza - CE
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
RIVOTRIL 2 MG 30 COMP FH,FARMACÊUTICOS S.A,RJ1293,160,72111,5992/2011,16/02/2011,Aparecida de Goiânia-GO
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
RIVOTRIL 2 MG 30 COMP FH,FARMACÊUTICOS S.A,RJ1339,2,78725,5994/2011,05/05/2011,Aparecida de Goiânia-GO
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
RIVOTRIL 2 MG 30 COMP FH,FARMACÊUTICOS S.A,RJ1303,1,72994,5991/2011,28/04/2011,Aparecida de Goiânia-GO
RIVOTRIL 2MG 20 COMP FH,PRODUTOS ROCHE QUÍMICOS E,,,,941637 Comunicação,,
(CLONAZEPAM),FARMACÊUTICOS S.A,RJ1352,640,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"",,,,,,,Itinerário entre a
"",,,,,,,Transportadora Rapidão
"",,RJ1228,2,60616,Declaração de Sinistro,05/10/2011,
RIVOTRIL 2MG 30 COMP,,,,,,,Cometa - Recife - PE ao site
(CLONAZEPAM),PRODUTOS ROCHE,,,,,,de Distribuição Roche - GO
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
RIVOTRIL 2MG 30 COMP FH,FARMACÊUTICOS S.A,RJ1308,7,74400,1250-01362/2011,10/03/2011,Fortaleza - CE
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,
RIVOTRIL 2MG 30 COMP FH,FARMACÊUTICOS S.A,RJ1264,160,68309,5986/2011,12/11/2010,Aparecida de Goiânia-GO
"",,,Quantidade Roubada/,,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,,
RIVOTRIL 2MG 30 COMP FH,FARMACÊUTICOS S.A,RJ1307,2,,74383,5997/2011,04/03/2011,Aparecida de Goiânia-GO
"",,,,,,,,Itinerário entre a
"",,,,,,,,Transportadora Rapidão
"",,RJ1196,1,,54888,Declaração de Sinistro,05/10/2011,
RIVOTRIL 2MG 30 COMP FH,,,,,,,,Cometa - Recife - PE ao site
(CLONAZEPAM),PRODUTOS ROCHE,,,,,,,de Distribuição Roche - GO
RIVOTRIL 2MG 30 COMP FH,PRODUTOS ROCHE QUÍMICOS E,,,,,941637 Comunicação,,
(CLONAZEPAM),FARMACÊUTICOS S.A,RJ1369,1390,,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,,
RIVOTRIL GOTAS 20 ML,FARMACÊUTICOS S.A,RJ0444,1,,78725,5994/2011,05/05/2011,Aparecida de Goiânia-GO
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,,
RIVOTRIL GOTAS 20 ML,FARMACÊUTICOS S.A,RJ0445,80,,80967,12825898 - BO 292/2011,27/05/2011,Serra-ES
RIVOTRIL GOTAS 20ML,PRODUTOS ROCHE QUÍMICOS E,,,,,941637 Comunicação,,
(CLONAZEPAM),FARMACÊUTICOS S.A,RJ0448,80,,86250,C1057529,16/07/2011,RESSAQUINHA - MG
ROACUTAN 20MG 30 CAPS,PRODUTOS ROCHE QUÍMICOS E,,,,,941637 Comunicação,,
(ISOTRETINOÍNA),FARMACÊUTICOS S.A,B0197B01,96,,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,,
"ROCALTROL 0,25MG 30",FARMACÊUTICOS S.A,B4141/02,16,,74400,1250-01362/2011,10/03/2011,Fortaleza - CE
"ROCALTROL 0,25MG 30",PRODUTOS ROCHE QUÍMICOS E,,,,,941637 Comunicação,,
(CALCITRIOL),FARMACÊUTICOS S.A,B4143/01,108,,86251,C1057529,16/07/2011,RESSAQUINHA - MG
"",PRODUTOS ROCHE QUÍMICOS E,,,,,,,
ROCEFIN IV 1G 1 FAMP OR,FARMACÊUTICOS S.A,B3542B04,10,,74472,2208/2011,14/04/2011,Itapevi - SP
ROCEFIN IV 1G 1 FAMP OR,PRODUTOS ROCHE QUÍMICOS E,,,,,941637 Comunicação,,
(CEFTRIAXONA DISSÓDICA),FARMACÊUTICOS S.A,B3587B01,718,,86252,C1057529,16/07/2011,RESSAQUINHA - MG
