Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/ Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
2491,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008055G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2492,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008054G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2493,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008053G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2494,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008052G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2495,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008051G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2496,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008050G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2497,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008049G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2498,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008014G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2499,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008013G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2500,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008012G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2501,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008011G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2502,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008010G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
2503,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008009G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2504,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008008G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2505,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008007G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2506,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008006G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2507,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008005G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2508,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008004G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2509,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008003G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2510,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008002G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2511,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008001G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2512,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008000G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2513,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007999G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2514,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007998G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2515,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007997G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2516,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008048G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2517,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008047G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2518,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008046G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2519,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008045G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2520,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008044G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2521,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008043G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2522,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008042G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2523,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008041G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2524,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008040G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2525,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008039G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2526,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008038G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2527,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008037G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2528,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008036G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2529,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008035G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2530,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008034G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2531,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008033G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2532,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008032G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2533,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008015G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2534,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008016G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2535,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008017G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2536,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008018G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2537,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008020G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2538,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008021G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2539,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008022G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2540,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008023G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2541,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008031G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
2542,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008030G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2543,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008029G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2544,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008028G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2545,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008024G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2546,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008025G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2547,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008027G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2548,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB008026G,1,46382,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2549,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007996G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2550,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007995G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2551,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007994G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2552,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007993G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2553,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007992G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2554,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007991G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2555,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007990G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2556,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007989G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2557,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007988G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2558,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007987G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2559,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007986G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2560,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007985G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2561,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007983G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2562,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007982G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2563,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007981G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2564,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007980G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2565,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007979G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2566,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007978G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2567,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007977G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2568,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007976G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2569,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007975G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2570,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007974G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2571,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007973G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2572,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007972G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2573,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007923G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2574,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007922G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2575,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007921G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2576,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007883G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2577,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007971G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2578,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007970G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2579,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007969G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2580,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007968G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2581,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007952G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2582,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007951G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
2583,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007950G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2584,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007949G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2585,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007948G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2586,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007947G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2587,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007946G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2588,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007945G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2589,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007944G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2590,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007943G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2591,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007942G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2592,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007941G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2593,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007940G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2594,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007939G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2595,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007938G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2596,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007937G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2597,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007936G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2598,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007935G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2599,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007934G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2600,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007933G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2601,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007932G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2602,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007931G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2603,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007930G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
2604,"MARCAPASSO IMPLANTÁVEL COM TECNOLOGIA MRISURESCAN – CÂMARA DUPLA",MEDTRONIC,FNB007929G,1,46381,NA,11/11/2021,"Praça Agrícola La Paz Tristante, 131 - Osasco/SP",SP
