3106,LANEXAT,"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA.",F1008F04,10 UNIDADES,3.104,0,170223,42760544,10/07/2020,"PARQUE JACARAIPE, ASPEN PHARMA INDÚSTRIA DE",ES
3107,"LANS + CLARIT + AMOX C/7BL + 28 CAPS DE LANZGEN",LABORATÓRIO TEUTO BRASILEIRO,5118136,6 CAIXAS,8.839,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3108,"LANS + CLARIT + AMOX C/7BL + 28 CAPS DE LANZGEN",LABORATÓRIO TEUTO BRASILEIRO,5118137,31 CAIXAS,8.831,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3109,"LANS + CLARIT + AMOX C/7BL + 28 CAPS DE LANZGEN",LABORATÓRIO TEUTO BRASILEIRO,5118139,1020 CAIXAS,9.194,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3110,LANS + CLARIT + AMOX C/7BL 30+ 500+500MG GEN,LABORATÓRIO TEUTO BRASILEIRO,5114035,120 CAIXAS,8.829,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3111,LANSOPRAZOL 30MG 28 CAPS,PRATIDONADUZZI & CIA LTDA,19J65Q,4,-,-,000137015-1,20E2141000053,04/01/2020,CABO DE SANTO AGOSTINHO,PE
3112,LANSOPRAZOL 30MG 28 CAPS,"PRATI, DONADUZZI E CIA LTDA",19L915,2,2,0,422217,2020-016912409-001,08/04/2020,Belo Horizonte,MG
3113,LANSOPRAZOL 30MG 28 CAPS,"PRATI, DONADUZZI E CIA LTDA",19L912,3 unidades,3,3,305627,-,31/03/2020,-,PR
3114,LANSOPRAZOL 30MG 28 CAPS,"PRATI, DONADUZZI E CIA LTDA",19L916,2 UNIDADES,2,2,379474,-,-,-,PR
3115,LANSOPRAZOL 30MG 28 CAPS,"PRATI, DONADUZZI E CIA LTDA",20I328,2,2,0,486452,2020-055465836-001,17.11.2020,Betim,MG
3116,LASIX AG 40 MG 10 CPR,SANOFI MEDLEY,9RA02636,1 CARTUCHOS,154920,zero,27317,3417/2020,29/07/2020,"Avenida Julia Gaiolli, 740 - Água Chata - Guarulhos/SP",SP
3117,LASIX AG 40 MG 10 CPR,SANOFI MEDLEY,9RA02636,1 CARTUCHO,57.800,zero,32936,00349/2020,25/09/2020,Rodovia BR316,-
3118,LASIX AG 40 MG 10 CPR,SANOFI MEDLEY,9RA02636,1 CARTUCHO,57.800,zero,33199,00349/2020,25/09/2020,Rodovia BR316,-
3119,LASOPRAZOL 30MG 14 CAPS,PRATI DONADUZZI,20D89A,6,6,0,3669,20E2141001834,20/08/2020,"PISTA LOCAL,1 - SÃO LOURENÇO DAMATA/PERNAMBUCO-BRASIL. RODOVIA FEDERAL",-
3120,"LECTRUM 3,75MG CX C/01 F/A 1,5ML",ELFA MEDICAMENTOS S.A.,119397U,1 CAIXA,-,0,N°.000205218,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
3121,"LECTRUM 3,75MG CX C/01 F/A 1,5ML","SANDOZ DO BRASIL IND.FARMAC. LTDA",120419U,15 CAIXAS,-,233,N. 000190319,No 2020-054667752-001,12/11/2020,UBA,MG
3122,LEIBA LARANJA SACHE 4G X 6,PRODUTOS FARMACÊUTICOS,2001626,1,-,-,166824,20E2141001507,11/07/2020,Jaboatão dos Guararapes,PE
3123,Leite de Magnésia Eno Tradicional,GlaxoSmithKline Brasil Ltda.,989H,1000 unidades,33.000,0,No. 000.064.090,2a CRPN ESPLAN-BO-20-00882,23/10/2020,"BR 101 KM25 Decrescente, Esplanada, BA - BR",BA
3124,Leite de Magnésia Eno Tradicional,GlaxoSmithKline Brasil Ltda.,989H,25 unidades,33.000,0,No. 000.063.856,2a CRPN ESPLAN-BO-20-00882,23/10/2020,"BR 101 KM25 Decrescente, Esplanada, BA - BR",BA
3125,Leite de Magnésia Eno Tradicional,GlaxoSmithKline Brasil Ltda.,5E5G,48 unidades,46.656,6.048,No. 000.063.434,2a CRPN ESPLAN-BO-20-00882,23/10/2020,"BR 101 KM25 Decrescente, Esplanada, BA - BR",BA
3126,LEITE DE MAGNÉSIA PHILLIPS (HORTELÃ),"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA",116586,14,8.374,0,22888,214494/2019/40010,27/06/2019,"AV. SEVERO DULLIUS, 90010, BAIRRO SÃO JOÃO,PORTO ALEGRE",RS
3127,LEITE DE MAGNÉSIA PHILLIPS (HORTELÃ),"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA",116758,10 UNIDADES,8.676,0,30125,NA,NA,NA,-
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
3128,LEITE DE MAGNÉSIA PHILLIPS (HORTELÃ),"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA",116996,96 UNIDADES,24.912,0,32275,NA,NA,NA,-
3129,LEITE DE MAGNÉSIA PHILLIPS (HORTELÃ),"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA",116880,48 UNIDADES,25.392,0,32281,NA,NA,NA,-
3130,LEITE MAGNESIA PHIL 120ML,A PHARMA DISTRIBUIDORA LTDA,116688,1,-,-,11309338,2114/2020,06/03/2020,GUARUJÁ,SP
3131,"LENVIMA 10MG CAIXA CONTENDO BLISTER 30CAPSULAS",UNITED MEDICAL,126710,10 CAIXAS,-,-,20335,-,01/10/2020,OSASCO,SP
3132,"LENVIMA 10MG CAIXA CONTENDO BLISTER 30CAPSULAS",UNITED MEDICAL,126710,8 CAIXAS,-,-,20336,-,01/10/2020,OSASCO,SP
3133,"LENVIMA 4MG CAIXA CONTENDO BLISTER 30CAPSULAS",UNITED MEDICAL,126694,20 CAIXAS,-,-,20334,-,01/10/2020,OSASCO,SP
3134,Lesdot,"Sandoz do Brasil IndústriaFarmacêutica Ltda",JU1138,30 unidades,-,-,63818,2585/2020/983003,07/02/2020,Porto Alegre,RS
3135,Lesdot,"Sandoz do Brasil IndústriaFarmacêutica Ltda",JU6168AA,195 unidades,-,-,,2585/2020/983003,07/02/2020,Porto Alegre,RS
3136,"LESTALGYN 2MG/5ML+0,25MG/5ML XPE FR PET120ML",LABORATÓRIO TEUTO,2228078,1000 CAIXAS,36113,1366,675598,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
3137,"LESTALGYN 2MG/5ML+0,25MG/5ML XPE FR PET120ML",LABORATÓRIO TEUTO,2228078,300 CAIXAS,36113,1366,675600,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
3138,"LESTALGYN 2MG/5ML+0,25MG/5ML XPE FR PET120ML",LABORATÓRIO TEUTO BRASILEIRO,2228079,50 CAIXAS,36.106,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3139,LEUKERAN,"ASPEN PHARMA INDÚSTRIAFARMACÊUTICA LTDA.",916640,6 UNIDADES,4.000,0,184126,NA,NA,NA,-
3140,LEUSTATIN 1MG/ML INJ 8ML CT 1FR AMP - OR,"JANSSEN CILAG FARMACÊUTICALTDA",JCZV900,10 CARTUCHOS,1.050,1.013,224601,1186/2020,14/09/2020,TRANSPORTE,-
3141,LEVAQUIN 500MG C/7 CAPS OR,ELFA MEDICAMENTOS S.A.,AL8496,2 CAIXA,-,48,N°.000205113,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
3142,LEVAQUIN 500MG C/7 CAPS OR,"JANSSEN-CILAG FARMACEUTICALTDA",AL8496,2 CAIXAS,4.649,2.422,N°.000205113,229/220,19/08/2020,TRANSPORTE,-
3143,LEVEL C/21 COMP,"BIOLAB SANUS FARMACEUTICALTDA",1042102,3,-,-,11299401,2114/2020,06/03/2020,GUARUJÁ,SP
3144,LEVEL C/21 COMP,"BIOLAB SANUS FARMACEUTICALTDA",1042102,2,-,-,11301806,2114/2020,06/03/2020,GUARUJÁ,SP
3145,LEVEMIR SINGLE PACK,"NOVO NORDISK FARMACEUTICADO BRASIL LTDA",JS6AA89,057 cartuchos,22.027,8.298,000142973,1591/2020,04/04/2020,Araras,SP
3146,LEVEMIR SINGLE PACK,"NOVO NORDISK FARMACEUTICADO BRASIL LTDA",JS6AA89,057 cartuchos,22.027,8.298,000142974,1591/2020,04/04/2020,Araras,SP
3147,LEVERCTIN,E.M.S,1A5291,7 CAIXAS,XXXX,XXXX,172756,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
3148,LEVOFLOXACINO,E.M.S,1D7935,1 CAIXA,XXXX,XXXX,172744,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
3149,LEVOFLOXACINO,"EUROFARMA LABORATORIOSS.A.",610537,1,N/A,0,11281368,2341/2020,05/03/2020,São Paulo,SP
3150,LEVOFLOXACINO 500MG 10CPR,PRATI DONADUZZI & CIA LTDA,19A576,3 CAIXAS,,3,44,3438 / 2020 / 100425,21/05/2020,DROGARIA,-
3151,LEVOFLOXACINO 500MG 7 CPR,NOVARTIS,KD5483,2 CAIXAS C/7CPR (CADA),,135,458.100,2020/1246856,03/12/2020,TRANSPORTE,-
3152,LEVOFLOXACINO 500MG 7CPR,"LABORATÓRIO TEUTO BRASILEIROS/A",6051011,5 CAIXAS,,5,44,3438 / 2020 / 100425,21/05/2020,DROGARIA,-
3153,LEVOFLOXACINO 500MG COMP REV 1 BL X 10,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2004461,12,7.975,370,446731,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
3154,LEVOFLOXACINO 500MG COMP REV 1 BL X 7,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",1903110,12,6.492,23,446731,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
3155,LEVOFLOXACINO 500MG COMP REV C /10 GEN PVC,LABORATÓRIO TEUTO BRASILEIRO,6052013,3 CAIXAS,9.131,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3156,LEVOFLOXACINO 500MG COMP REV C /7 GEN PVC,LABORATÓRIO TEUTO BRASILEIRO,6051014,7 CAIXAS,12.796,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3157,LEVOFLOXACINO 750 MG 5 CPR,EUROFARMA,669644,1,NA,NA,84.623,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
3158,"LEVONORGESTREL 1,5 MG COMP 1 BL X 1",CIMED,2009737,12,NA,NA,84.641,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
3159,Lexotan,"BLANVER FARMOQUÍMICA EFARMACÊUTICA S.A.",RJ1040,186 unidades,-,-,14602,0094-B/20-2284,17/04/2020,"BR 101, km23, a 40km do posto de reforço 6, Cocal,Joaquim Gomes/AL",AL
3160,Lexotan,"BLANVER FARMOQUÍMICA EFARMACÊUTICA S.A.",RJ0717,54 unidades,-,-,14602,0094-B/20-2285,17/04/2020,"BR 101, km23, a 40km do posto de reforço 6, Cocal,Joaquim Gomes/AL",AL
3161,Lexotan,"BLANVER FARMOQUÍMICA EFARMACÊUTICA S.A.",RJ0717,72 unidades,-,-,14612,0094-B/20-2287,17/04/2020,"BR 101, km23, a 40km do posto de reforço 6, Cocal,Joaquim Gomes/AL",AL
3162,Lexotan,"BLANVER FARMOQUÍMICA EFARMACÊUTICA S.A.",RJ1042,144 unidades,-,-,15483,038-04022-2020,16/06/2020,"Rua Francisco de Souza e Melo, 253 - Rio de Janeiro",RJ
3163,Lexotan,"BLANVER FARMOQUÍMICA EFARMACÊUTICA S.A.",RJ0714,144 unidades,-,-,15483,038-04022-2020,16/06/2020,"Rua Francisco de Souza e Melo, 253 - Rio de Janeiro",RJ
3164,LEXOTAN 6MG 30 COMP (131),ROCHE,RJ0710,01 UNIDADE,66.147,0,1517192,13365023,09/12/2019,"DURANTE A LOGÍSTICA REVERS DO CLIENTE SBCOMÉRCIO LTDA PARA O LOBORATÓRIO ROCHE - GO",GO
3165,LIDOGEL 2% CT BG ALUM 1X30G,BRAINFARMA IND. QUÍM E FARM.,B20G0248,100 UNIDADES,15.800 UNIDADES,4.100 UNIDADES,109.653,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
3166,LIDOGEL 2% GEL TOP CT BG 50X30G,BRAINFARMA IND. QUÍM. E FARM.,B19D1668,50,311,0,704006,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
3167,LIDOJET 2% S/ VAS 12 FA SAFETY PACK,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2003393,4 CARTUCHOS,365 CT,0,404907,20I0319103087,01/04/2020,JABOATÃO DOS GUARARAPES,PE
3168,LIDOJET 2% S/VAS 12 FA,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1741536,48 CARTUCHOS,373 CT,0,246985,2020-030359410-001,30/05/2020,CONTAGEM,MG
3169,LIDOSTESIM 2%,DLA PHARMACEUTICAL LTDA,S03850AA,80 CARTUCHOS,-,-,32571,100105.002279/2020-94,13/11/2020,TERESINA,PI
3170,LIDOSTESIM 3%,DLA PHARMACEUTICAL LTDA,S03865AA,40 CARTUCHOS,-,-,32571,100105.002279/2020-94,13/11/2020,TERESINA,PI
3171,LIPANON 250MG LIB RET 60 CAP DURA,COSMED IND COSM MED S/A,B19K0556,24,4.735,0,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
3172,LIPANON RETARD CT 24X3X10 CAP,COSMED IND COSM MED S/A,B19K1482,120,388,1,706724,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
3173,Lipidil,"ABBOTT LABORATÓRIOS DOBRASIL LTDA",1117944,20 caixas,105.930,26.101,257308,041-03235/2020,09/09/2020,"Rua ANA SILVA, 601 Bairro: PECHINCHA Município: RIODE JANEIRO",RJ
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
3174,LIPITOR 40MG X 30 COMP,Pfizer,AL7665,144,58.560,20.456,113443,"M1073-2020-00000156 / 2020-002011453-001",12/01/2020,BR 381 Carmo da Cachoeira,MG
3175,LIPITOR 40MG X 30 COMP,Pfizer,AL7665,300,58.560,29.069,112370,M2322-2019-00002599,15/12/2019,ESTIVA,MG
3176,LIPITOR 40MG X 30 COMP,Pfizer,AL7665,240,58.560,29.069,112371,M2322-2019-00002599,15/12/2019,ESTIVA,MG
3177,LIPITOR 80MG X 30 COMP,Pfizer,CH0629,240,14.040,819,112370,M2322-2019-00002599,15/12/2019,ESTIVA,MG
3178,LIPITOR 80MG X 30 COMP,Pfizer,CH0629,120,14.040,819,112371,M2322-2019-00002599,15/12/2019,ESTIVA,MG
3179,LISADOR 500MG COMP CT BL 48X3X8,COSMED IND COSM MED S/A,B20K0049,240 UNIDADES,"493,52 CAIXAS",3 CAIXAS,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
3180,LISADOR 500MG CT 48X2X8 COMP,COSMED IND COSM MED S/A,B20J2249,432 UNIDADES,"746,770 CAIXAS",65 CAIXAS,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
3181,LISADOR 500MG DISP 12X25X8 COMP,COSMED IND COSM MED S/A,B20K0067,12  UNIDADES,240 CAIXAS,20 CAIXAS,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
3182,LISADOR C/16 COMP,HYPERMARCAS S.A,B19M0906,1,-,-,11302223,2114/2020,06/03/2020,GUARUJÁ,SP
3183,LISADOR DIP 1G C/20 COMP,HYPERMARCAS S.A,B19K0638,2,-,-,11299457,2114/2020,06/03/2020,GUARUJÁ,SP
3184,LISADOR DIP 1G CT BL 24X20 COMP,COSMED IND COSM MED S/A,B19L2058,456,997,0,706723,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
3185,LISADOR DIP 1G CT BL 24X20 COMP,COSMED IND COSM MED S/A,B20K5152,312 UNIDADES,"972,124 CAIXAS",12 CAIXAS,109.657,1990324201130030028,30.11.2020,"BR 381, KM 313, MUNICÍPIO: ANTONIO DIAS",MG
3186,LISADOR DIP 1G CT BL 48X10 COMP,COSMED IND COSM MED S/A,B20A2027,336,984,0,706723,20E0180000763,11/03/2020,"BR-232, VIA LOCAL. MUNICÍPIO DE POMBOS -PERNAMBUCO - PE",PE
3187,LISADOR DIP 1G DISP BL 100 COMP(12X25X4),COSMED IND COSM MED S/A,B20B0424,216,283,0,703624,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
3188,LISINOPRIL 10MG COMP C/30 GEN,LABORATÓRIO TEUTO,1032138,100 CAIXAS,8335,106,673987,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
3189,LISINOPRIL 10MG COMP C/30 GEN,LABORATÓRIO TEUTO BRASILEIRO,1032142,600 CAIXAS,8.914,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3190,LISINOPRIL 20MG COMP C/30 GEN,LABORATÓRIO TEUTO,1033060,100 CAIXAS,11238,4706,675598,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
3191,LISINOPRIL 20MG COMP C/30 GEN,LABORATÓRIO TEUTO,1033060,100 CAIXAS,11238,4706,675600,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
3192,LISINOPRIL 20MG COMP C/30 GEN,LABORATÓRIO TEUTO BRASILEIRO,1033061,400 CAIXAS,11.477,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3193,LISODREN 500MG X 100CP,ELFA MEDICAMENTOS S.A.,9L05547,2 CAIXA,-,34,N°.000205197,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
3194,LIVALO 2MG 30S,Eli Lilly do Brasil,2,46018,44174,46.015,005.063,1983642/2020,27/11/2020,GUARULHOS,SP
3195,"LOCERYL - ESMALTE PARA UNHAS 2,5ML -TAMPA C/ APLICADOR","GALDERMA DISTRIBUIDORA DOBRASIL",9212321,24,87.277,25608,19.054,"42834908 (presencial) e42842637 (online/internet)",27/07/2020,"ROD-ES 297, entre munícipio de Apiacá e o distrito deSanto Eduardo",-
3196,"LOCERYL - ESMALTE PARA UNHAS 2,5ML -TAMPA C/ APLICADOR","GALDERMA DISTRIBUIDORA DOBRASIL",9212321,144,87.277,25608,19.202,"42834908 (presencial) e42842637 (online/internet)",27/07/2020,"ROD-ES 297, entre munícipio de Apiacá e o distrito deSanto Eduardo",-
3197,"LOCERYL - ESMALTE PARA UNHAS 2,5ML -TAMPA C/ APLICADOR","GALDERMA DISTRIBUIDORA DOBRASIL",9212321,408,87.277,25608,19.203,"42834908 (presencial) e42842637 (online/internet)",27/07/2020,"ROD-ES 297, entre munícipio de Apiacá e o distrito deSanto Eduardo",-
3198,"LOCERYL - ESMALTE PARA UNHAS 2,5ML -TAMPA C/ APLICADOR","GALDERMA DISTRIBUIDORA DOBRASIL",9212321,432,87.277,25608,19.204,"42834908 (presencial) e42842637 (online/internet)",27/07/2020,"ROD-ES 297, entre munícipio de Apiacá e o distrito deSanto Eduardo",-
3199,"LOCERYL ESMALTE PARA UNHAS 2,5ML","GALDERMA DISTRIBUIDORA DOBRASIL",9212315,"192,000",74.700,8,15083,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
3200,"LOCERYL ESMALTE PARA UNHAS 2,5ML","GALDERMA DISTRIBUIDORA DOBRASIL",9212321,"48,000",87.277,35068,15099,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
3201,"LOCERYL ESMALTE PARA UNHAS 2,5ML","GALDERMA DISTRIBUIDORA DOBRASIL",9212321,"24,000",87.277,35068,15199,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
3202,"LOCERYL ESMALTE PARA UNHAS 2,5ML","GALDERMA DISTRIBUIDORA DOBRASIL",9212321,"24,000",87.277,35068,15210,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
3203,LONCORD (8701),"DIFFUCAP CHEMOBRAS QUÍMICAE FARMACÊUTICA LTDA",D200195,12 cartuchos,28.609 cartuchos,5578 cartuchos,65580,918-00281/2020,15/10/2020,Av. Brasil - Bonsucesso,RJ
3204,LONCORD (8701),"DIFFUCAP CHEMOBRAS QUÍMICAE FARMACÊUTICA LTDA",D200195,3120 cartuchos,28.609 cartuchos,5578 cartuchos,65583,918-00281/2020,15/10/2020,Av. Brasil - Bonsucesso,RJ
3205,LONCORD (8702),"DIFFUCAP CHEMOBRAS QUÍMICAE FARMACÊUTICA LTDA",D200197,330 cartuchos,9.691 cartuchos,0 cartuchos,65583,918-00281/2020,15/10/2020,Av. Brasil - Bonsucesso,RJ
3206,LONCORD (8702),"DIFFUCAP CHEMOBRAS QUÍMICAE FARMACÊUTICA LTDA",D200198,306 cartuchos,9.691 cartuchos,9344 cartuchos,65583,918-00281/2020,15/10/2020,Av. Brasil - Bonsucesso,RJ
3207,LOPERAMIDA 2MG C/200 COMP,PHARLAB,34700220,1,NA,NA,58.555,2020-038578129-001,11/08/2020,CRUZAMENTO COM RUA PIO XXI - CONTAGEM/MG,MG
3208,LORADINE 10MG COMP C/12,LABORATÓRIO TEUTO BRASILEIRO,3835253,200 CAIXAS,65.345,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3209,"LORATAD + PSEUD SULF 1+12 MG/M G/ML XPE 60MLGEN PET",LABORATÓRIO TEUTO BRASILEIRO,6083022,1 CAIXA,10.942,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3210,"LORATAD + PSEUD SULF 1+12 MG/M G/ML XPE 60MLGEN PET",LABORATÓRIO TEUTO BRASILEIRO,6083028,7 CAIXAS,10.600,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3211,"LORATADINA + SULFATO PSEUDO XPE FR 60ML","CIMED INDUSTRIA DEMEDICAMENTOS LTDA",1906577,12,20.542,0,446731,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
3212,LORATADINA 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2000972,12,219.267,13168,446287,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
3213,LORATADINA 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2000972,200,219.267,12944,446303,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
3214,LORATADINA 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2000972,60,219.267,12448,446731,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
3215,LORATADINA 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2000972,30,219.267,429,448938,2020-018151005-001,16/04/2020,CONTAGEM,MG
3216,LORATADINA XPE 1MG/ML 100 ML,PHARLAB,201343A,12,NA,NA,58.458,2020-038578129-001,11/08/2020,CRUZAMENTO COM RUA PIO XXI - CONTAGEM/MG,MG
3217,LORATAMED 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2000172,200,247340,18.000,437431,2020-014722225-001,24/03/2020,RIBEIRÃO DAS NEVES,MG
3218,LORATAMED 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2001600,2,243.360,60,446287,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
3219,LORATAMED 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2001656,10,245.676,13250,446287,2020-016912409-001,08/04/2020,BELO HORIZONTE,MG
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
3220,LORATAMED 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",1921382,6,247.600,113,449163,2020-018151005-001,16/04/2020,CONTAGEM,MG
3221,LORATAMED 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2001656,40,245.676,5160,448938,2020-018151005-001,16/04/2020,CONTAGEM,MG
3222,LORATAMED 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2000172,200,248.340,0,437.431,2020-014722225-001,24/03/2020,RIBEIRÃO DAS NEVES,MG
3223,LORATAMED 10 MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2014220,1200 UNIDADES,225.661,72.367,539.945,20E023000428,03/11/20230,LAJEDO,PE
3224,LORATAMED 10MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2002247,200,207.473,0,450799,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
3225,LORATAMED 10MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2000172,30,248.340,12810,450797,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
3226,LORATAMED 10MG COMP 1 BL X 12,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2000172,60,248.340,12850,450796,2020-019499094-001,24/04/2020,RIBEIRÃO DAS NEVES,MG
3227,LORATAMED 1MG/ML SOL OR FR 100 ML,"CIMED INDUSTRIA DEMEDICAMENTOS LTDA",2001626,30,45.300,4114,448938,2020-018151005-001,16/04/2020,CONTAGEM,MG
3228,LORAZEPAM 2MG (B1) COMP C/30 G EN,LABORATÓRIO TEUTO BRASILEIRO,2556184,6 CAIXAS,10.502,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3229,LORAZEPAM 2MG (B1) COMP C/30 G EN,LABORATÓRIO TEUTO BRASILEIRO,2556199,100 CAIXAS,11.047,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
3230,LORAZEPAM 2MG 20CP (B1),LEGRAND,1P3701,3,NA,NA,84.717,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
